City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
198,Rio Grande,BR,77.11,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
199,Ternate,ID,81.32,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
200,Samarai,PG,81.81,overcast clouds,-10.6167,150.6667,Nuli Sapi
201,Manono,CD,71.73,overcast clouds,-7.3,27.4167,Hotel hewa bora
202,Kandrian,PG,78.39,broken clouds,-6.2167,149.55,Kandrian Station
203,Sibolga,ID,75.85,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
204,Soyo,AO,80.65,overcast clouds,-6.1349,12.3689,Hotel Mpampa
205,Kilimatinde,TZ,75.54,scattered clouds,-5.85,34.95,
206,Kiama,AU,65.37,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
207,Zemio,CF,75.96,broken clouds,5.0314,25.1361,OCHA Office
208,San Andres,CO,78.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
209,Richards Bay,ZA,73.45,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
210,Bibiani,GH,78.89,few clouds,6.4635,-2.3194,Rodick Hotel
211,Hobyo,SO,78.8,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
212,Inirida,CO,77.38,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
213,Tenali,IN,70.34,overcast clouds,16.2425,80.6398,Goutham Grand Hotel
214,Key Biscayne,US,82.02,scattered clouds,25.6937,-80.1628,"The Ritz-Carlton Key Biscayne, Miami"
215,Guerrero Negro,MX,72.14,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
216,Mbala,ZM,67.73,broken clouds,-8.8402,31.3659,Lake Chila Lodge
217,Kouango,CF,80.04,overcast clouds,4.9934,19.9619,
218,Kralendijk,BQ,85.98,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
219,Taltal,CL,66.65,scattered clouds,-25.4,-70.4833,Residencial Karime
220,Merauke,ID,78.22,overcast clouds,-8.4667,140.3333,
221,Ilhabela,BR,72.32,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
222,Maridi,SS,79.63,overcast clouds,4.9158,29.4742,
223,Manavalakurichi,IN,80.69,overcast clouds,8.1333,77.3,Muttom beach west
224,Safaga,EG,66.15,overcast clouds,26.7292,33.9365,Lamar Resort Abu Soma
225,Anito,PH,77.86,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
226,Sechura,PE,79.25,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
227,El Vigia,VE,83.55,overcast clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
228,Ararangua,BR,66.87,overcast clouds,-28.9347,-49.4858,Hotel Mazzuco
229,Noumea,NC,81.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
230,Biltine,TD,76.93,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
231,Geraldton,AU,66.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
232,Vanimo,PG,76.75,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
233,Mogapi,BW,83.55,scattered clouds,-22.323,27.8349,
234,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
235,Port Keats,AU,83.35,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
236,Ixtapa,MX,79.83,clear sky,20.7,-105.2,Hotel Plaza Providencia
237,Pimentel,PE,77.29,clear sky,-6.8367,-79.9342,Casona Del Muelle
